,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings
3596,0.675,0.515,0.145,1.265,0.6025,0.299,0.325,10
4173,0.59,0.44,0.135,0.966,0.439,0.2145,0.2605,10
662,0.415,0.34,0.13,0.3675,0.146,0.0885,0.12,10
1915,0.6,0.47,0.135,0.97,0.4655,0.1955,0.264,11
3509,0.645,0.52,0.175,1.3345,0.667,0.2665,0.355,10
3853,0.57,0.465,0.155,0.9685,0.446,0.261,0.255,9
4101,0.675,0.51,0.15,1.1965,0.475,0.304,0.386,11
3180,0.37,0.295,0.1,0.2685,0.1165,0.056,0.0835,7
3604,0.455,0.37,0.11,0.514,0.2385,0.1235,0.126,8
3223,0.52,0.415,0.175,0.753,0.258,0.171,0.255,8
2350,0.515,0.435,0.17,0.631,0.2765,0.111,0.216,12
3534,0.4,0.315,0.09,0.33,0.151,0.068,0.08,6
845,0.54,0.405,0.125,0.891,0.4815,0.1915,0.202,9
542,0.42,0.325,0.115,0.2885,0.1,0.057,0.1135,15
91,0.555,0.44,0.15,0.755,0.307,0.1525,0.26,12
4158,0.48,0.355,0.11,0.4495,0.201,0.089,0.14,8
3833,0.535,0.41,0.15,0.8105,0.345,0.187,0.24,11
1795,0.58,0.43,0.17,1.48,0.6535,0.324,0.4155,10
1196,0.71,0.56,0.18,1.652,0.735,0.381,0.4525,11
1861,0.515,0.385,0.11,0.5785,0.253,0.16,0.14,8
1102,0.5,0.39,0.125,0.5215,0.2485,0.117,0.131,6
2840,0.59,0.485,0.155,1.0785,0.4535,0.2435,0.31,9
1995,0.32,0.24,0.07,0.133,0.0585,0.0255,0.041,6
2447,0.275,0.205,0.08,0.096,0.036,0.0185,0.03,6
2316,0.535,0.435,0.155,0.8915,0.3415,0.177,0.25,13
2289,0.58,0.475,0.155,0.974,0.4305,0.23,0.285,10
2909,0.58,0.45,0.15,0.92,0.393,0.212,0.2895,9
2011,0.45,0.33,0.105,0.4955,0.2575,0.082,0.129,8
3448,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161,7
1048,0.71,0.565,0.205,2.198,1.012,0.5225,0.5475,11
4151,0.35,0.25,0.075,0.1695,0.0835,0.0355,0.041,6
1902,0.575,0.455,0.155,1.013,0.4685,0.2085,0.295,11
898,0.28,0.12,0.075,0.117,0.0455,0.029,0.0345,4
1459,0.485,0.38,0.12,0.4725,0.2075,0.1075,0.147,6
2529,0.6,0.5,0.155,1.332,0.6235,0.2835,0.35,8
237,0.13,0.1,0.03,0.013,0.0045,0.003,0.004,3
3688,0.63,0.49,0.17,1.217,0.5515,0.212,0.31,11
3877,0.645,0.5,0.225,1.626,0.587,0.4055,0.41,15
1133,0.57,0.46,0.15,1.0375,0.5415,0.2035,0.25,9
2763,0.55,0.425,0.135,0.656,0.257,0.17,0.203,10
3008,0.75,0.615,0.205,2.2635,0.821,0.423,0.726,12
163,0.725,0.56,0.21,2.141,0.65,0.398,1.005,18
2439,0.345,0.255,0.1,0.197,0.071,0.051,0.06,9
2996,0.62,0.5,0.17,1.148,0.5475,0.22,0.3315,10
252,0.595,0.455,0.155,1.0605,0.5135,0.2165,0.3,12
3252,0.48,0.38,0.13,0.6175,0.3,0.142,0.175,12
2228,0.505,0.39,0.175,0.692,0.267,0.15,0.215,12
2543,0.7,0.525,0.19,1.6015,0.707,0.365,0.43,10
2119,0.455,0.37,0.125,0.433,0.201,0.1265,0.145,9
2229,0.37,0.28,0.095,0.2225,0.0805,0.051,0.075,7
930,0.44,0.325,0.09,0.35,0.148,0.067,0.105,7
2164,0.375,0.305,0.09,0.3245,0.1395,0.0565,0.095,5
1922,0.61,0.48,0.14,1.031,0.4375,0.2615,0.27,8
3438,0.43,0.335,0.105,0.378,0.188,0.0785,0.09,6
1698,0.63,0.495,0.175,1.2695,0.605,0.271,0.328,11
3292,0.495,0.375,0.15,0.597,0.2615,0.135,0.178,11
3454,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815,8
3787,0.63,0.49,0.16,1.09,0.407,0.224,0.354,12
3367,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375,17
2369,0.56,0.44,0.17,0.9445,0.3545,0.2175,0.3,12
3720,0.38,0.32,0.115,0.6475,0.323,0.1325,0.164,7
1090,0.45,0.33,0.1,0.411,0.1945,0.1,0.098,6
3387,0.545,0.41,0.145,0.873,0.3035,0.196,0.31,18
4070,0.48,0.335,0.125,0.524,0.246,0.1095,0.145,7
3667,0.585,0.42,0.155,1.034,0.437,0.2225,0.32,11
2115,0.18,0.13,0.045,0.0275,0.0125,0.01,0.009,3
1181,0.655,0.51,0.175,1.415,0.5885,0.3725,0.364,10
1452,0.47,0.345,0.14,0.4615,0.229,0.1105,0.116,9
593,0.66,0.52,0.18,1.514,0.526,0.2975,0.42,19
677,0.5,0.375,0.115,0.5945,0.185,0.148,0.19,11
41,0.55,0.425,0.135,0.8515,0.362,0.196,0.27,14
1840,0.43,0.34,0.1,0.3405,0.1395,0.0665,0.12,8
2545,0.205,0.15,0.065,0.04,0.02,0.011,0.013,4
3333,0.45,0.36,0.125,0.45,0.191,0.0865,0.145,12
2117,0.375,0.29,0.08,0.282,0.1405,0.0725,0.08,7
243,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04,8
1124,0.55,0.43,0.15,0.84,0.395,0.195,0.223,8
1339,0.58,0.445,0.15,0.858,0.4,0.156,0.253,8
1822,0.72,0.56,0.18,1.5865,0.691,0.375,0.4425,11
3512,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11
3617,0.62,0.46,0.16,0.9505,0.4915,0.2,0.228,9
1442,0.41,0.32,0.095,0.2905,0.141,0.063,0.073,5
261,0.57,0.44,0.125,0.865,0.3675,0.1725,0.27,12
1803,0.615,0.455,0.145,1.1155,0.5045,0.238,0.315,10
3174,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145,9
3608,0.545,0.43,0.155,0.8035,0.409,0.144,0.228,7
1689,0.625,0.475,0.16,1.0845,0.5005,0.2355,0.3105,10
4093,0.63,0.485,0.18,1.2435,0.5175,0.308,0.37,11
1725,0.66,0.5,0.165,1.3195,0.667,0.269,0.341,9
2823,0.455,0.35,0.105,0.4445,0.213,0.107,0.1115,7
834,0.445,0.325,0.1,0.378,0.1795,0.1,0.089,7
3264,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285,12
1886,0.555,0.455,0.135,0.837,0.382,0.171,0.235,9
3193,0.565,0.435,0.185,1.032,0.354,0.2045,0.31,20
1818,0.695,0.55,0.185,1.679,0.805,0.4015,0.3965,10
340,0.575,0.455,0.145,1.165,0.581,0.2275,0.3,14
360,0.605,0.49,0.18,1.227,0.48,0.287,0.35,18
1601,0.54,0.43,0.17,0.836,0.3725,0.1815,0.24,9
748,0.535,0.42,0.13,0.8055,0.301,0.181,0.28,14
113,0.425,0.35,0.105,0.393,0.13,0.063,0.165,9
3747,0.385,0.29,0.1,0.2575,0.1,0.061,0.086,6
480,0.7,0.585,0.185,1.8075,0.7055,0.3215,0.475,29
2080,0.645,0.495,0.15,1.2095,0.603,0.2225,0.339,9
2247,0.47,0.365,0.12,0.543,0.2295,0.1495,0.15,9
3700,0.66,0.53,0.17,1.431,0.622,0.309,0.398,10
2714,0.29,0.215,0.065,0.0985,0.0425,0.021,0.031,5
3012,0.39,0.3,0.1,0.2665,0.1105,0.059,0.084,7
2154,0.55,0.44,0.135,0.879,0.368,0.2095,0.265,10
783,0.385,0.28,0.125,0.244,0.102,0.038,0.085,6
3650,0.52,0.415,0.14,0.6385,0.2945,0.1405,0.171,8
2121,0.475,0.36,0.11,0.4555,0.177,0.0965,0.145,9
2772,0.58,0.44,0.175,1.2255,0.5405,0.2705,0.3265,10
1766,0.375,0.27,0.135,0.597,0.272,0.131,0.1675,7
3404,0.37,0.28,0.105,0.224,0.0815,0.0575,0.075,8
3522,0.24,0.185,0.06,0.0655,0.0295,0.0005,0.02,4
2653,0.52,0.395,0.135,0.633,0.2985,0.1295,0.175,9
2210,0.66,0.505,0.2,1.6305,0.4865,0.297,0.61,18
1832,0.39,0.31,0.105,0.2665,0.1185,0.0525,0.081,8
2787,0.61,0.45,0.13,0.8725,0.389,0.1715,0.272,11
3928,0.725,0.55,0.22,2.0495,0.7735,0.4405,0.655,10
3782,0.62,0.5,0.175,1.107,0.4895,0.24,0.343,11
3038,0.565,0.44,0.135,0.768,0.3305,0.1385,0.2475,9
1271,0.47,0.355,0.12,0.393,0.167,0.0885,0.115,8
3515,0.69,0.525,0.19,1.492,0.6425,0.3905,0.42,12
3293,0.575,0.455,0.185,1.156,0.5525,0.243,0.295,13
1127,0.56,0.445,0.16,0.8965,0.42,0.2175,0.2215,8
626,0.425,0.335,0.095,0.322,0.1205,0.061,0.125,10
347,0.34,0.26,0.08,0.2,0.08,0.0555,0.055,6
1302,0.535,0.415,0.15,0.5765,0.3595,0.135,0.225,8
3363,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19,10
1565,0.46,0.355,0.11,0.4255,0.2015,0.081,0.13,7
3628,0.735,0.565,0.225,2.037,0.87,0.5145,0.5675,13
2526,0.59,0.48,0.16,1.262,0.5685,0.2725,0.335,9
979,0.535,0.435,0.14,0.874,0.3735,0.229,0.2195,8
2412,0.31,0.245,0.095,0.15,0.0525,0.034,0.048,7
1423,0.725,0.6,0.2,1.737,0.697,0.3585,0.595,11
3665,0.575,0.45,0.145,0.872,0.4675,0.18,0.217,9
2118,0.48,0.38,0.12,0.608,0.2705,0.1405,0.185,8
911,0.34,0.25,0.07,0.2225,0.104,0.0425,0.055,7
2655,0.545,0.42,0.145,0.778,0.3745,0.1545,0.205,7
632,0.46,0.365,0.125,0.467,0.1895,0.0945,0.158,10
2533,0.63,0.5,0.185,1.362,0.5785,0.3125,0.384,10
445,0.56,0.455,0.19,0.714,0.283,0.129,0.275,9
617,0.32,0.24,0.085,0.17,0.0655,0.047,0.049,7
2436,0.515,0.4,0.16,0.8175,0.2515,0.156,0.3,23
2566,0.455,0.35,0.12,0.4555,0.1945,0.1045,0.1375,7
2310,0.435,0.35,0.11,0.384,0.143,0.1005,0.125,13
1326,0.565,0.445,0.15,0.796,0.3635,0.184,0.219,8
286,0.53,0.435,0.155,0.699,0.288,0.1595,0.205,10
2589,0.575,0.45,0.155,0.948,0.429,0.206,0.259,7
3614,0.615,0.475,0.155,1.0735,0.4375,0.2585,0.31,11
4152,0.37,0.28,0.09,0.218,0.0995,0.0545,0.0615,7
1465,0.515,0.395,0.125,0.556,0.2695,0.096,0.17,8
1896,0.57,0.44,0.175,0.9415,0.3805,0.2285,0.283,9
2249,0.585,0.455,0.165,0.998,0.345,0.2495,0.315,12
115,0.53,0.415,0.115,0.5915,0.233,0.1585,0.18,11
1494,0.62,0.485,0.155,1.049,0.462,0.231,0.25,10
353,0.58,0.455,0.17,0.93,0.408,0.259,0.22,9
1232,0.37,0.29,0.09,0.2445,0.089,0.0655,0.075,7
613,0.495,0.37,0.125,0.4775,0.185,0.0705,0.169,18
2821,0.39,0.29,0.09,0.2625,0.117,0.054,0.077,7
1950,0.64,0.48,0.145,1.1145,0.508,0.24,0.34,10
2499,0.54,0.41,0.145,0.989,0.2815,0.213,0.355,19
3950,0.53,0.425,0.13,0.717,0.2115,0.166,0.255,13
2683,0.625,0.495,0.185,1.3835,0.7105,0.3005,0.345,11
3998,0.375,0.28,0.08,0.2235,0.115,0.043,0.055,6
57,0.47,0.385,0.135,0.5895,0.2765,0.12,0.17,8
2225,0.59,0.475,0.155,0.857,0.356,0.174,0.28,13
2309,0.47,0.375,0.13,0.5795,0.2145,0.164,0.195,13
3279,0.655,0.53,0.19,1.428,0.493,0.318,0.565,18
4126,0.55,0.42,0.145,0.7385,0.321,0.1485,0.252,11
1735,0.67,0.52,0.165,1.39,0.711,0.2865,0.3,11
1253,0.42,0.305,0.09,0.328,0.168,0.0615,0.082,6
3551,0.515,0.4,0.135,0.636,0.3055,0.1215,0.1855,9
2663,0.57,0.45,0.135,1.02,0.546,0.204,0.25,9
2487,0.63,0.51,0.185,1.235,0.5115,0.349,0.3065,11
2988,0.555,0.425,0.15,0.873,0.4625,0.1845,0.1965,9
3153,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135,9
2095,0.415,0.3,0.1,0.3355,0.1545,0.0685,0.095,7
2196,0.37,0.28,0.09,0.233,0.0905,0.0545,0.07,11
1665,0.605,0.48,0.14,0.991,0.4735,0.2345,0.24,8
4023,0.275,0.2,0.07,0.096,0.037,0.0225,0.03,6
560,0.44,0.34,0.105,0.364,0.148,0.0805,0.1175,8
2972,0.72,0.58,0.19,2.0885,0.9955,0.478,0.5305,13
707,0.345,0.26,0.09,0.207,0.0775,0.0435,0.0765,10
1866,0.52,0.385,0.115,0.581,0.2555,0.156,0.143,10
424,0.26,0.2,0.07,0.092,0.037,0.02,0.03,6
1093,0.47,0.36,0.105,0.544,0.27,0.1395,0.129,7
1376,0.62,0.51,0.175,1.2815,0.5715,0.2385,0.39,10
647,0.48,0.375,0.145,0.777,0.216,0.13,0.17,9
72,0.595,0.475,0.17,1.247,0.48,0.225,0.425,20
1954,0.64,0.485,0.185,1.4195,0.6735,0.3465,0.3255,11
3579,0.6,0.485,0.145,0.776,0.3545,0.1585,0.239,9
1764,0.275,0.175,0.09,0.2315,0.096,0.057,0.0705,5
743,0.52,0.405,0.14,0.8175,0.2795,0.183,0.26,17
1957,0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,16
1005,0.605,0.475,0.155,1.161,0.572,0.2455,0.275,9
620,0.345,0.255,0.08,0.169,0.06,0.0425,0.054,10
1869,0.525,0.4,0.145,0.6095,0.248,0.159,0.175,9
287,0.495,0.4,0.155,0.6445,0.242,0.1325,0.205,17
553,0.48,0.37,0.12,0.514,0.2075,0.131,0.155,13
1125,0.55,0.425,0.15,0.8315,0.411,0.1765,0.2165,10
1241,0.38,0.27,0.08,0.2105,0.0865,0.042,0.07,8
4068,0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
1554,0.41,0.3,0.09,0.304,0.129,0.071,0.0955,8
3774,0.58,0.42,0.14,0.701,0.3285,0.102,0.2255,9
2404,0.555,0.455,0.17,0.8435,0.309,0.1905,0.3,15
4055,0.645,0.5,0.15,1.159,0.4675,0.3355,0.31,9
998,0.59,0.455,0.145,1.063,0.5155,0.2445,0.25,8
2268,0.545,0.445,0.175,0.8525,0.3465,0.189,0.295,13
2495,0.45,0.36,0.16,0.567,0.174,0.1245,0.225,12
2493,0.42,0.31,0.1,0.2865,0.115,0.0735,0.085,8
2184,0.32,0.235,0.08,0.1485,0.064,0.031,0.045,6
1397,0.645,0.5,0.195,1.401,0.6165,0.3515,0.3725,10
1577,0.49,0.4,0.135,0.624,0.3035,0.1285,0.169,8
2761,0.55,0.425,0.145,0.89,0.4325,0.171,0.236,10
2340,0.59,0.47,0.17,0.9,0.355,0.1905,0.25,11
1620,0.56,0.44,0.13,0.7235,0.349,0.149,0.2,8
3888,0.575,0.45,0.1,0.9315,0.431,0.222,0.235,12
1826,0.31,0.215,0.075,0.1275,0.0565,0.0275,0.036,7
3766,0.555,0.44,0.14,0.846,0.346,0.1715,0.2735,10
4167,0.5,0.38,0.125,0.577,0.269,0.1265,0.1535,9
2474,0.605,0.49,0.145,1.3,0.517,0.3285,0.31,14
3906,0.245,0.18,0.065,0.0635,0.0245,0.0135,0.02,4
440,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10
508,0.56,0.435,0.18,0.889,0.36,0.204,0.25,11
1100,0.5,0.375,0.12,0.542,0.215,0.116,0.17,9
589,0.405,0.31,0.12,0.3095,0.138,0.058,0.095,13
3212,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325,14
649,0.475,0.36,0.125,0.447,0.1695,0.081,0.14,9
1546,0.38,0.285,0.095,0.243,0.0895,0.0665,0.075,7
3873,0.33,0.25,0.075,0.1405,0.056,0.035,0.05,5
4133,0.585,0.45,0.15,0.997,0.4055,0.283,0.251,11
2476,0.645,0.485,0.155,1.489,0.5915,0.312,0.38,18
418,0.63,0.5,0.155,1.005,0.367,0.199,0.36,16
4039,0.56,0.44,0.155,0.811,0.3685,0.178,0.235,11
2694,0.65,0.535,0.175,1.2895,0.6095,0.2765,0.344,10
1455,0.475,0.37,0.125,0.649,0.347,0.136,0.142,8
2218,0.495,0.39,0.15,0.853,0.3285,0.189,0.27,14
660,0.65,0.525,0.18,1.626,0.597,0.3445,0.53,18
630,0.475,0.365,0.115,0.49,0.223,0.1235,0.1335,9
672,0.53,0.41,0.165,0.8115,0.24,0.169,0.24,19
1249,0.395,0.27,0.1,0.2985,0.1445,0.061,0.082,5
2104,0.49,0.385,0.125,0.5395,0.2175,0.128,0.165,11
482,0.57,0.465,0.125,0.849,0.3785,0.1765,0.24,15
1584,0.515,0.375,0.11,0.6065,0.3005,0.131,0.15,6
2374,0.435,0.335,0.11,0.383,0.1555,0.0675,0.135,12
3634,0.36,0.265,0.085,0.1895,0.0725,0.0515,0.055,6
2276,0.62,0.48,0.23,1.0935,0.403,0.245,0.355,14
1462,0.495,0.38,0.12,0.573,0.2655,0.1285,0.144,7
2940,0.625,0.49,0.12,0.8765,0.456,0.18,0.233,10
3559,0.565,0.45,0.175,1.2365,0.5305,0.2455,0.308,10
3821,0.595,0.46,0.155,1.03,0.4275,0.207,0.3305,10
2534,0.64,0.585,0.195,1.647,0.7225,0.331,0.471,12
856,0.59,0.475,0.165,1.077,0.4545,0.244,0.3095,9
1225,0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
1190,0.69,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9
4050,0.625,0.495,0.175,1.2935,0.5805,0.317,0.355,9
3569,0.58,0.47,0.15,0.907,0.444,0.1855,0.2445,11
530,0.53,0.42,0.185,0.752,0.299,0.156,0.205,20
2860,0.72,0.55,0.18,1.52,0.637,0.325,0.435,10
49,0.525,0.425,0.16,0.8355,0.3545,0.2135,0.245,9
3095,0.53,0.415,0.12,0.706,0.3355,0.1635,0.1345,9
2553,0.315,0.235,0.07,0.149,0.058,0.0325,0.047,7
858,0.595,0.48,0.15,1.11,0.498,0.228,0.33,10
2984,0.535,0.4,0.15,1.224,0.618,0.275,0.2875,10
1072,0.4,0.32,0.095,0.348,0.194,0.053,0.087,6
719,0.15,0.1,0.025,0.015,0.0045,0.004,0.005,2
151,0.605,0.5,0.185,1.1185,0.469,0.2585,0.335,9
2503,0.3,0.23,0.075,0.127,0.052,0.03,0.0345,6
3172,0.505,0.405,0.18,0.606,0.239,0.1235,0.18,11
1660,0.6,0.47,0.165,1.059,0.504,0.241,0.275,9
1656,0.6,0.475,0.15,1.13,0.575,0.196,0.305,9
2318,0.505,0.385,0.135,0.6185,0.251,0.1175,0.2,12
2465,0.5,0.39,0.13,0.709,0.275,0.168,0.18,11
3914,0.52,0.39,0.14,0.7325,0.2415,0.144,0.26,19
2004,0.375,0.275,0.085,0.22,0.109,0.05,0.0605,7
2312,0.315,0.24,0.07,0.137,0.0545,0.0315,0.04,8
3456,0.61,0.48,0.16,1.234,0.598,0.238,0.315,12
3867,0.5,0.39,0.13,0.6355,0.2505,0.1635,0.195,15
3408,0.39,0.315,0.09,0.3095,0.147,0.05,0.09,7
3133,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185,9
3831,0.545,0.42,0.175,0.754,0.256,0.1775,0.275,10
4161,0.585,0.455,0.17,0.9945,0.4255,0.263,0.2845,11
1941,0.625,0.47,0.145,0.984,0.475,0.2,0.265,11
4040,0.575,0.45,0.12,0.9585,0.447,0.169,0.275,12
2741,0.46,0.35,0.1,0.471,0.252,0.077,0.123,8
3167,0.605,0.49,0.155,1.153,0.503,0.2505,0.295,15
3549,0.5,0.365,0.125,0.528,0.229,0.103,0.1645,9
1385,0.63,0.505,0.18,1.272,0.6025,0.295,0.315,11
2673,0.595,0.47,0.165,1.108,0.4915,0.2325,0.3345,9
1399,0.65,0.505,0.165,1.16,0.4785,0.274,0.349,11
1195,0.705,0.55,0.17,1.219,0.6395,0.236,0.301,9
4005,0.555,0.43,0.14,0.7545,0.3525,0.1835,0.2015,9
2669,0.59,0.47,0.15,0.861,0.413,0.164,0.249,8
1798,0.6,0.495,0.175,1.3005,0.6195,0.284,0.3285,11
1909,0.58,0.45,0.195,0.8265,0.4035,0.173,0.225,9
1475,0.56,0.43,0.15,0.8745,0.453,0.161,0.22,8
2240,0.415,0.315,0.125,0.388,0.068,0.09,0.125,12
3876,0.545,0.45,0.16,0.8615,0.2925,0.1545,0.365,16
2477,0.57,0.42,0.155,1.008,0.377,0.193,0.34,13
297,0.28,0.21,0.085,0.1065,0.039,0.0295,0.03,4
2211,0.565,0.47,0.195,1.142,0.387,0.258,0.35,17
1264,0.455,0.33,0.1,0.372,0.358,0.0775,0.11,8
2216,0.33,0.26,0.08,0.19,0.0765,0.0385,0.065,7
958,0.5,0.385,0.12,0.56,0.2835,0.103,0.135,8
1606,0.54,0.425,0.13,0.7205,0.2955,0.169,0.225,10
2813,0.255,0.195,0.055,0.0725,0.0285,0.017,0.021,4
908,0.335,0.25,0.075,0.1825,0.0705,0.044,0.055,7
2631,0.375,0.29,0.1,0.219,0.0925,0.038,0.075,6
1609,0.545,0.375,0.12,0.543,0.2375,0.1155,0.1725,8
2567,0.46,0.35,0.115,0.46,0.2025,0.1115,0.1165,6
1374,0.615,0.48,0.175,1.118,0.446,0.3195,0.3,9
1286,0.5,0.395,0.14,0.6215,0.2925,0.1205,0.195,9
1482,0.585,0.455,0.15,0.906,0.4095,0.23,0.2335,8
349,0.61,0.48,0.15,1.2,0.56,0.2455,0.28,14
1368,0.61,0.46,0.16,1.0,0.494,0.197,0.275,10
3958,0.61,0.5,0.18,1.438,0.5185,0.3735,0.3345,9
643,0.33,0.255,0.095,0.1875,0.0735,0.045,0.06,7
2416,0.425,0.315,0.125,0.3525,0.1135,0.0565,0.13,18
3162,0.64,0.49,0.14,1.194,0.4445,0.238,0.375,15
2174,0.645,0.5,0.17,1.1845,0.4805,0.274,0.355,13
1681,0.62,0.54,0.165,1.139,0.4995,0.2435,0.357,11
669,0.45,0.35,0.145,0.5425,0.1765,0.123,0.175,13
3856,0.335,0.255,0.085,0.1785,0.071,0.0405,0.055,9
3592,0.655,0.525,0.16,1.46,0.686,0.311,0.405,11
3475,0.4,0.315,0.085,0.2675,0.116,0.0585,0.0765,6
1671,0.61,0.47,0.16,1.022,0.449,0.2345,0.2945,9
290,0.54,0.435,0.18,0.996,0.3835,0.226,0.325,17
1179,0.65,0.5,0.155,1.202,0.565,0.3135,0.294,11
2649,0.505,0.4,0.135,0.723,0.377,0.149,0.178,7
4010,0.61,0.475,0.15,1.142,0.62,0.237,0.245,9
2351,0.59,0.475,0.16,0.9455,0.3815,0.184,0.27,19
2069,0.55,0.41,0.13,0.8705,0.4455,0.2115,0.213,9
1587,0.515,0.395,0.125,0.6635,0.32,0.14,0.17,8
3352,0.52,0.405,0.145,0.829,0.3535,0.1685,0.205,15
2401,0.585,0.415,0.155,0.6985,0.3,0.146,0.195,12
2527,0.595,0.49,0.185,1.185,0.482,0.2015,0.361,10
1916,0.6,0.46,0.17,1.1805,0.456,0.337,0.329,11
1357,0.6,0.46,0.155,0.9595,0.4455,0.189,0.295,11
1825,0.24,0.18,0.055,0.0555,0.0235,0.013,0.018,4
786,0.515,0.39,0.13,0.5755,0.1975,0.13,0.1845,9
3818,0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,9
140,0.565,0.445,0.155,0.826,0.341,0.2055,0.2475,10
788,0.505,0.39,0.16,0.644,0.2475,0.2025,0.1635,9
323,0.265,0.205,0.07,0.1055,0.039,0.041,0.035,5
4154,0.435,0.33,0.095,0.393,0.219,0.075,0.0885,6
2861,0.72,0.565,0.17,1.613,0.723,0.3255,0.4945,12
714,0.35,0.255,0.08,0.1915,0.08,0.0385,0.063,9
3424,0.64,0.51,0.17,1.3715,0.567,0.307,0.409,10
2338,0.655,0.485,0.195,1.62,0.6275,0.358,0.485,17
2528,0.6,0.475,0.135,1.4405,0.5885,0.191,0.3175,9
3922,0.525,0.4,0.14,0.6955,0.2405,0.16,0.253,10
3388,0.74,0.535,0.185,1.65,0.734,0.4505,0.335,13
3320,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25,16
3584,0.625,0.49,0.165,1.1835,0.517,0.2375,0.39,11
2098,0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
618,0.31,0.225,0.075,0.1295,0.0455,0.0335,0.044,9
406,0.45,0.355,0.115,0.479,0.2125,0.1045,0.15,8
2877,0.46,0.36,0.14,0.447,0.161,0.087,0.16,9
1004,0.605,0.49,0.15,1.1345,0.5265,0.2645,0.295,9
426,0.61,0.485,0.165,1.0915,0.3935,0.2435,0.33,18
890,0.695,0.56,0.22,1.834,0.8455,0.422,0.455,11
2575,0.5,0.375,0.145,0.6215,0.274,0.166,0.1485,7
497,0.605,0.485,0.165,1.0105,0.435,0.209,0.3,19
1837,0.415,0.31,0.1,0.2805,0.114,0.0565,0.0975,6
3428,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215,4
342,0.62,0.465,0.185,1.274,0.579,0.3065,0.32,12
2742,0.46,0.345,0.105,0.415,0.187,0.087,0.11,8
3196,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045,5
782,0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
2313,0.595,0.47,0.145,0.991,0.4035,0.1505,0.34,16
1323,0.56,0.455,0.145,0.974,0.547,0.1615,0.235,9
2464,0.52,0.405,0.14,0.6915,0.276,0.137,0.215,11
2127,0.4,0.31,0.1,0.127,0.106,0.071,0.085,7
303,0.36,0.27,0.1,0.217,0.0885,0.0495,0.0715,6
3476,0.4,0.29,0.1,0.258,0.104,0.059,0.0815,7
3530,0.36,0.265,0.09,0.2055,0.096,0.037,0.0585,7
2618,0.69,0.545,0.205,1.933,0.7855,0.429,0.498,13
664,0.45,0.355,0.12,0.412,0.1145,0.0665,0.16,19
1177,0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
1244,0.385,0.3,0.095,0.302,0.152,0.0615,0.0735,7
2594,0.595,0.465,0.15,1.0765,0.491,0.22,0.287,9
1947,0.635,0.5,0.165,1.273,0.6535,0.213,0.365,12
2457,0.25,0.185,0.065,0.071,0.027,0.0185,0.0225,5
3199,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18,9
3795,0.675,0.54,0.175,1.5545,0.6645,0.278,0.512,12
3377,0.255,0.19,0.07,0.0815,0.028,0.016,0.031,5
3899,0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
84,0.58,0.45,0.14,1.013,0.38,0.216,0.36,14
3121,0.55,0.425,0.14,0.952,0.4895,0.1945,0.2185,7
961,0.505,0.39,0.13,0.674,0.3165,0.141,0.1785,9
2009,0.43,0.32,0.11,0.3675,0.1675,0.102,0.105,8
2321,0.49,0.395,0.135,0.5545,0.213,0.0925,0.215,14
2707,0.725,0.55,0.2,1.51,0.8735,0.4265,0.5085,9
304,0.47,0.36,0.13,0.472,0.182,0.114,0.15,10
3566,0.575,0.45,0.155,0.886,0.3605,0.211,0.2575,9
3849,0.385,0.3,0.115,0.3435,0.1645,0.085,0.1025,6
916,0.385,0.265,0.08,0.251,0.124,0.037,0.07,6
2600,0.615,0.485,0.16,1.1575,0.5005,0.2495,0.315,10
1624,0.565,0.44,0.125,0.802,0.3595,0.1825,0.215,9
2894,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,11
821,0.37,0.275,0.14,0.2215,0.097,0.0455,0.0615,6
2307,0.465,0.375,0.135,0.6,0.2225,0.129,0.23,16
4071,0.485,0.375,0.11,0.464,0.2015,0.09,0.149,8
